Suburb,Rooms,Type,Price,Distance,Bathroom,Car,Lattitude,Longtitude,Region,Year
Abbotsford,4,h,1330000.0,2.5,2.0,2.0,-37.8073,144.9952,Northern Metropolitan,2017
Abbotsford,3,t,900000.0,2.5,2.0,2.0,-37.8093,144.9959,Northern Metropolitan,2017
Abbotsford,3,u,1090000.0,2.5,2.0,2.0,-37.8078,144.9965,Northern Metropolitan,2017
Abbotsford,2,u,500000.0,2.5,1.0,1.0,-37.8015,144.9972,Northern Metropolitan,2016
Abbotsford,2,h,1100000.0,2.5,2.0,1.0,-37.8079,144.9977,Northern Metropolitan,2016
Abbotsford,2,h,1315000.0,2.5,1.0,0.0,-37.808,144.994,Northern Metropolitan,2016
Abbotsford,1,u,426000.0,2.5,1.0,1.0,-37.8016,144.9988,Northern Metropolitan,2016
Abbotsford,3,h,1447500.0,2.5,3.0,1.0,-37.8017,145.0001,Northern Metropolitan,2016
Abbotsford,1,u,457000.0,2.5,1.0,1.0,-37.8078,144.9965,Northern Metropolitan,2016
Abbotsford,2,h,1135000.0,2.5,2.0,2.0,-37.8005,144.9952,Northern Metropolitan,2016
Abbotsford,4,h,1542000.0,2.5,3.0,1.0,-37.7994,144.9965,Northern Metropolitan,2016
Abbotsford,3,h,1290000.0,2.5,2.0,2.0,-37.805,144.9943,Northern Metropolitan,2017
Abbotsford,3,h,1290000.0,2.5,1.0,1.0,-37.8007,144.9958,Northern Metropolitan,2017
Abbotsford,1,u,470000.0,2.5,1.0,1.0,-37.8055,144.9961,Northern Metropolitan,2016
Abbotsford,2,h,1180000.0,2.5,1.0,0.0,-37.8016,144.9956,Northern Metropolitan,2016
Abbotsford,3,h,1195000.0,2.5,2.0,1.0,-37.8022,144.9954,Northern Metropolitan,2016
Abbotsford,2,h,1012500.0,2.5,1.0,0.0,-37.8021,144.9976,Northern Metropolitan,2016
Abbotsford,2,h,1030000.0,2.5,1.0,1.0,-37.8086,144.9946,Northern Metropolitan,2016
Airport West,3,t,840000.0,13.5,2.0,1.0,-37.718,144.878,Western Metropolitan,2016
Airport West,3,h,730000.0,13.5,2.0,1.0,-37.7203,144.8755,Western Metropolitan,2016
Airport West,3,h,770000.0,13.5,2.0,1.0,-37.7203,144.8755,Western Metropolitan,2017
Airport West,2,h,603000.0,13.5,1.0,1.0,-37.7294,144.888,Western Metropolitan,2017
Airport West,3,t,700000.0,13.5,2.0,2.0,-37.7218,144.8837,Western Metropolitan,2017
Airport West,3,h,600000.0,13.5,1.0,1.0,-37.7273,144.8744,Western Metropolitan,2017
Airport West,2,u,500000.0,13.5,1.0,1.0,-37.7215,144.8864,Western Metropolitan,2017
Airport West,3,h,720000.0,13.5,1.0,1.0,-37.7173,144.8872,Western Metropolitan,2016
Airport West,4,h,785000.0,13.5,1.0,2.0,-37.7259,144.8792,Western Metropolitan,2016
Airport West,6,h,725000.0,13.5,3.0,2.0,-37.7239,144.8735,Western Metropolitan,2016
Airport West,2,t,450000.0,13.5,1.0,1.0,-37.7216,144.871,Western Metropolitan,2016
Airport West,2,u,515000.0,13.5,1.0,1.0,-37.7298,144.8883,Western Metropolitan,2016
Airport West,2,u,530000.0,13.5,1.0,1.0,-37.7234,144.8792,Western Metropolitan,2016
Airport West,3,h,895000.0,13.5,1.0,6.0,-37.7249,144.8728,Western Metropolitan,2016
Airport West,3,h,805000.0,13.5,1.0,1.0,-37.7217,144.8783,Western Metropolitan,2016
Airport West,3,u,752000.0,13.5,1.0,1.0,-37.7302,144.8855,Western Metropolitan,2017
Airport West,2,u,440000.0,13.5,1.0,1.0,-37.7177,144.8787,Western Metropolitan,2016
Airport West,5,h,755000.0,13.5,2.0,2.0,-37.7248,144.8699,Western Metropolitan,2016
Airport West,3,t,700000.0,13.5,2.0,2.0,-37.727,144.887,Western Metropolitan,2016
Airport West,3,h,830000.0,13.5,1.0,2.0,-37.7186,144.876,Western Metropolitan,2016
Airport West,2,u,462500.0,13.5,1.0,1.0,-37.7218,144.8863,Western Metropolitan,2016
Airport West,3,h,670000.0,13.5,2.0,2.0,-37.7269,144.8742,Western Metropolitan,2016
Airport West,2,h,675000.0,13.5,1.0,1.0,-37.7187,144.8765,Western Metropolitan,2016
Airport West,3,h,1042000.0,13.5,2.0,5.0,-37.7173,144.8796,Western Metropolitan,2016
Airport West,3,h,910000.0,13.5,1.0,1.0,-37.7231,144.8835,Western Metropolitan,2016
Airport West,4,h,773000.0,13.5,3.0,4.0,-37.7263,144.8679,Western Metropolitan,2016
Airport West,3,h,810000.0,13.5,3.0,2.0,-37.7285,144.8694,Western Metropolitan,2017
Airport West,3,h,715000.0,13.5,2.0,2.0,-37.7164,144.8792,Western Metropolitan,2017
Airport West,3,h,790000.0,13.5,1.0,3.0,-37.7194,144.8827,Western Metropolitan,2017
Airport West,3,t,540000.0,13.5,2.0,1.0,-37.7231,144.8802,Western Metropolitan,2016
Airport West,3,t,825000.0,13.5,2.0,1.0,-37.72,144.8776,Western Metropolitan,2016
Airport West,3,h,685000.0,13.5,1.0,1.0,-37.7226,144.8733,Western Metropolitan,2016
Airport West,3,h,805000.0,13.5,1.0,1.0,-37.7184,144.882,Western Metropolitan,2016
Airport West,2,u,510000.0,13.5,1.0,1.0,-37.7202,144.8797,Western Metropolitan,2016
Airport West,3,h,612000.0,13.5,2.0,1.0,-37.7181,144.8824,Western Metropolitan,2016
Airport West,3,h,662000.0,13.5,1.0,2.0,-37.7169,144.8815,Western Metropolitan,2016
Airport West,4,h,978000.0,13.5,3.0,2.0,-37.7263,144.869,Western Metropolitan,2016
Airport West,3,h,720000.0,13.5,1.0,1.0,-37.72,144.878,Western Metropolitan,2017
Airport West,4,h,765000.0,13.5,1.0,2.0,-37.7261,144.8785,Western Metropolitan,2016
Airport West,4,h,900000.0,13.5,2.0,3.0,-37.7256,144.8739,Western Metropolitan,2016
Albert Park,2,h,1275000.0,3.3,1.0,0.0,-37.8459,144.9555,Southern Metropolitan,2016
Albert Park,2,h,1455000.0,3.3,1.0,0.0,-37.845,144.9538,Southern Metropolitan,2016
Albert Park,3,h,2850000.0,3.3,2.0,0.0,-37.8481,144.9499,Southern Metropolitan,2017
Albert Park,3,h,1850000.0,3.3,2.0,0.0,-37.8452,144.9488,Southern Metropolitan,2017
Albert Park,2,h,1436000.0,3.3,1.0,0.0,-37.8431,144.9565,Southern Metropolitan,2017
Albert Park,2,h,1110000.0,3.3,1.0,0.0,-37.8444,144.9484,Southern Metropolitan,2016
Albert Park,2,h,1550000.0,3.3,1.0,1.0,-37.8405,144.9521,Southern Metropolitan,2016
Albert Park,4,h,2300000.0,3.3,2.0,1.0,-37.8447,144.9523,Southern Metropolitan,2016
Albert Park,3,t,1550000.0,3.3,2.0,2.0,-37.8443,144.9598,Southern Metropolitan,2016
Albert Park,3,h,1800000.0,3.3,2.0,1.0,-37.8415,144.952,Southern Metropolitan,2016
Albert Park,2,h,2120000.0,3.3,1.0,1.0,-37.8422,144.9554,Southern Metropolitan,2016
Albert Park,3,h,1800000.0,3.3,1.0,1.0,-37.8443,144.9579,Southern Metropolitan,2016
Albert Park,3,h,1800000.0,3.3,2.0,1.0,-37.8421,144.9571,Southern Metropolitan,2016
Albert Park,2,h,1810000.0,3.3,1.0,0.0,-37.8379,144.9539,Southern Metropolitan,2016
Albert Park,3,h,2615000.0,3.3,2.0,1.0,-37.8415,144.9585,Southern Metropolitan,2016
Albert Park,5,h,2100000.0,3.3,2.0,1.0,-37.8436,144.9557,Southern Metropolitan,2016
Albert Park,3,h,1300000.0,3.3,1.0,0.0,-37.8422,144.949,Southern Metropolitan,2016
Albert Park,3,h,1370000.0,3.3,2.0,2.0,-37.8451,144.9511,Southern Metropolitan,2016
Albert Park,2,h,1000000.0,3.3,1.0,0.0,-37.8407,144.9523,Southern Metropolitan,2016
Albert Park,3,h,2575000.0,3.3,2.0,1.0,-37.8445,144.9501,Southern Metropolitan,2016
Albert Park,2,h,1322500.0,3.3,1.0,0.0,-37.8443,144.9481,Southern Metropolitan,2016
Albert Park,2,h,1562500.0,3.3,1.0,0.0,-37.8424,144.9562,Southern Metropolitan,2016
Albert Park,3,h,2000000.0,3.3,2.0,1.0,-37.847,144.9575,Southern Metropolitan,2016
Albert Park,3,h,1900000.0,3.3,1.0,0.0,-37.8468,144.9546,Southern Metropolitan,2017
Albert Park,3,h,3010000.0,3.3,2.0,0.0,-37.8473,144.9551,Southern Metropolitan,2017
Albert Park,4,h,2800000.0,3.3,3.0,1.0,-37.8467,144.9475,Southern Metropolitan,2016
Albert Park,2,u,647000.0,3.3,1.0,1.0,-37.846,144.9542,Southern Metropolitan,2016
Albert Park,3,h,2100000.0,3.3,1.0,1.0,-37.8427,144.9546,Southern Metropolitan,2016
Albert Park,3,h,2000000.0,3.3,1.0,1.0,-37.8461,144.9528,Southern Metropolitan,2016
Albert Park,1,u,442500.0,3.3,1.0,0.0,-37.8421,144.9517,Southern Metropolitan,2017
Albert Park,4,h,4735000.0,3.3,2.0,1.0,-37.8477,144.9558,Southern Metropolitan,2017
Albert Park,2,h,1340000.0,3.3,1.0,0.0,-37.846,144.9517,Southern Metropolitan,2017
Albert Park,3,h,1801000.0,3.3,1.0,1.0,-37.8429,144.9493,Southern Metropolitan,2017
Albert Park,3,h,1532000.0,3.3,3.0,1.0,-37.8415,144.9585,Southern Metropolitan,2016
Albert Park,3,h,3755000.0,3.3,2.0,2.0,-37.8413,144.95,Southern Metropolitan,2016
Albert Park,4,h,2140000.0,3.3,2.0,1.0,-37.8434,144.9495,Southern Metropolitan,2016
Albert Park,2,h,1750000.0,3.3,1.0,1.0,-37.8416,144.9488,Southern Metropolitan,2016
Albert Park,2,h,980000.0,3.3,1.0,0.0,-37.8387,144.9519,Southern Metropolitan,2016
Albert Park,3,h,2030000.0,3.3,2.0,0.0,-37.8488,144.9551,Southern Metropolitan,2016
Albert Park,3,h,1740000.0,3.3,2.0,2.0,-37.8448,144.9453,Southern Metropolitan,2016
Albert Park,3,h,2800000.0,3.3,3.0,1.0,-37.8399,144.9577,Southern Metropolitan,2016
Albert Park,1,h,985000.0,3.3,1.0,0.0,-37.8411,144.9497,Southern Metropolitan,2016
Alphington,4,h,2000000.0,6.4,2.0,4.0,-37.7707,145.0318,Northern Metropolitan,2016
Alphington,3,h,1110000.0,6.4,2.0,2.0,-37.7854,145.0325,Northern Metropolitan,2016
Alphington,3,h,1492000.0,6.4,2.0,2.0,-37.7713,145.0279,Northern Metropolitan,2017
Alphington,4,h,1717500.0,6.4,2.0,1.0,-37.7717,145.031,Northern Metropolitan,2016
Alphington,5,h,2840000.0,6.4,4.0,4.0,-37.775,145.0268,Northern Metropolitan,2016
Alphington,2,u,525500.0,6.4,1.0,1.0,-37.7791,145.0306,Northern Metropolitan,2016
Alphington,2,t,805000.0,6.4,2.0,3.0,-37.7804,145.0308,Northern Metropolitan,2016
Alphington,2,u,465000.0,6.4,1.0,1.0,-37.7773,145.0314,Northern Metropolitan,2016
Alphington,3,h,2000000.0,6.4,3.0,2.0,-37.78,145.0341,Northern Metropolitan,2016
Alphington,3,h,1540000.0,6.4,1.0,2.0,-37.7755,145.0288,Northern Metropolitan,2016
Alphington,2,u,820000.0,6.4,1.0,1.0,-37.7747,145.0264,Northern Metropolitan,2017
Alphington,4,h,1830000.0,6.4,2.0,2.0,-37.7743,145.0316,Northern Metropolitan,2016
Alphington,4,h,2100000.0,6.4,2.0,2.0,-37.7723,145.0319,Northern Metropolitan,2016
Alphington,3,h,865000.0,6.4,1.0,1.0,-37.7802,145.0243,Northern Metropolitan,2016
Alphington,2,u,390000.0,6.4,1.0,1.0,-37.7773,145.0314,Northern Metropolitan,2016
Alphington,2,t,650000.0,6.4,1.0,0.0,-37.7848,145.025,Northern Metropolitan,2016
Alphington,2,u,512000.0,6.4,1.0,1.0,-37.7805,145.0262,Northern Metropolitan,2017
Alphington,3,h,1165000.0,6.4,1.0,2.0,-37.7792,145.029,Northern Metropolitan,2016
Alphington,4,h,1900000.0,6.4,2.0,2.0,-37.7844,145.0225,Northern Metropolitan,2016
Alphington,3,h,1485000.0,6.4,0.0,0.0,-37.7781,145.0284,Northern Metropolitan,2016
Alphington,4,h,1950000.0,6.4,2.0,3.0,-37.7719,145.0309,Northern Metropolitan,2016
Altona,3,h,520000.0,13.8,2.0,1.0,-37.87,144.825,Western Metropolitan,2016
Altona,5,h,1525000.0,13.8,3.0,3.0,-37.8721,144.8105,Western Metropolitan,2016
Altona,2,t,720000.0,13.8,1.0,2.0,-37.8687,144.8197,Western Metropolitan,2016
Altona,3,h,1120000.0,13.8,1.0,2.0,-37.8693,144.8375,Western Metropolitan,2017
Altona,4,h,780000.0,13.8,1.0,4.0,-37.868,144.8154,Western Metropolitan,2016
Altona,4,h,1780000.0,13.8,3.0,6.0,-37.8681,144.819,Western Metropolitan,2016
Altona,3,u,630000.0,13.8,1.0,2.0,-37.8702,144.8143,Western Metropolitan,2016
Altona,2,u,406000.0,13.8,1.0,1.0,-37.8693,144.8171,Western Metropolitan,2016
Altona,3,h,660000.0,13.8,1.0,1.0,-37.8616,144.8116,Western Metropolitan,2016
Altona,3,h,683500.0,13.8,1.0,1.0,-37.8594,144.817,Western Metropolitan,2016
Altona,2,u,580000.0,13.8,1.0,1.0,-37.8696,144.827,Western Metropolitan,2016
Altona,3,h,1335000.0,13.8,1.0,4.0,-37.8697,144.8249,Western Metropolitan,2016
Altona,3,t,800000.0,13.8,2.0,2.0,-37.8734,144.8143,Western Metropolitan,2016
Altona,2,u,510000.0,13.8,1.0,1.0,-37.8686,144.8182,Western Metropolitan,2016
Altona,4,h,1070000.0,13.8,2.0,2.0,-37.8733,144.8147,Western Metropolitan,2016
Altona,2,u,425000.0,13.8,1.0,2.0,-37.871,144.8185,Western Metropolitan,2016
Altona,3,u,605000.0,13.8,2.0,2.0,-37.8646,144.827,Western Metropolitan,2016
Altona,3,t,705000.0,13.8,2.0,2.0,-37.8579,144.8181,Western Metropolitan,2017
Altona,2,u,391000.0,13.8,1.0,1.0,-37.8678,144.8384,Western Metropolitan,2017
Altona,2,u,440000.0,13.8,1.0,1.0,-37.8659,144.831,Western Metropolitan,2017
Altona,4,h,845000.0,13.8,1.0,2.0,-37.8658,144.8155,Western Metropolitan,2017
Altona,3,t,743000.0,13.8,2.0,2.0,-37.8698,144.816,Western Metropolitan,2016
Altona,3,u,730000.0,13.8,2.0,1.0,-37.868,144.8286,Western Metropolitan,2016
Altona,3,h,635000.0,13.8,1.0,4.0,-37.8611,144.8114,Western Metropolitan,2016
Altona,2,u,620000.0,13.8,1.0,1.0,-37.8676,144.8202,Western Metropolitan,2016
Altona,2,u,447000.0,13.8,1.0,1.0,-37.8655,144.8299,Western Metropolitan,2016
Altona,3,u,730000.0,13.8,2.0,1.0,-37.868,144.8287,Western Metropolitan,2016
Altona,3,h,678000.0,13.8,1.0,2.0,-37.8608,144.8124,Western Metropolitan,2016
Altona,2,u,580000.0,13.8,2.0,1.0,-37.8687,144.8268,Western Metropolitan,2016
Altona,3,h,712000.0,13.8,1.0,2.0,-37.8674,144.8375,Western Metropolitan,2016
Altona,3,h,840000.0,13.8,2.0,2.0,-37.86,144.8245,Western Metropolitan,2017
Altona,3,h,980000.0,13.8,1.0,2.0,-37.8672,144.817,Western Metropolitan,2016
Altona,3,t,605100.0,13.8,2.0,0.0,-37.8583,144.8172,Western Metropolitan,2016
Altona,3,h,880000.0,13.8,3.0,1.0,-37.8699,144.8235,Western Metropolitan,2016
Altona,3,u,577000.0,13.8,2.0,1.0,-37.8684,144.815,Western Metropolitan,2016
Altona,4,h,1030000.0,13.8,1.0,0.0,-37.8663,144.8387,Western Metropolitan,2017
Altona,3,u,605000.0,13.8,1.0,2.0,-37.8659,144.822,Western Metropolitan,2017
Altona,3,h,753000.0,13.8,2.0,2.0,-37.8612,144.8247,Western Metropolitan,2016
Altona,2,h,857000.0,13.8,2.0,1.0,-37.8653,144.8129,Western Metropolitan,2016
Altona,3,h,1500000.0,13.8,1.0,1.0,-37.8651,144.832,Western Metropolitan,2016
Altona,3,u,730000.0,13.8,2.0,1.0,-37.868,144.8285,Western Metropolitan,2016
Altona,3,h,900000.0,13.8,1.0,4.0,-37.871,144.8075,Western Metropolitan,2016
Altona,3,h,740000.0,13.8,1.0,2.0,-37.8631,144.8195,Western Metropolitan,2016
Altona,4,h,931000.0,13.8,2.0,3.0,-37.8637,144.8365,Western Metropolitan,2016
Altona,2,h,535600.0,13.8,1.0,1.0,-37.8646,144.8272,Western Metropolitan,2016
Altona North,5,h,1085000.0,11.1,3.0,6.0,-37.8388,144.8567,Western Metropolitan,2016
Altona North,3,h,781000.0,11.1,1.0,2.0,-37.8291,144.835,Western Metropolitan,2016
Altona North,3,h,750000.0,11.1,1.0,3.0,-37.8449,144.85,Western Metropolitan,2017
Altona North,2,t,421000.0,11.1,1.0,1.0,-37.8351,144.8529,Western Metropolitan,2017
Altona North,3,h,1405000.0,11.1,1.0,3.0,-37.8338,144.8562,Western Metropolitan,2017
Altona North,3,h,683000.0,11.1,1.0,2.0,-37.8284,144.8355,Western Metropolitan,2016
Altona North,3,h,623000.0,11.1,1.0,3.0,-37.8267,144.8368,Western Metropolitan,2016
Altona North,3,h,720000.0,11.1,2.0,1.0,-37.8379,144.8583,Western Metropolitan,2016
Altona North,3,h,588000.0,11.1,1.0,1.0,-37.838,144.8555,Western Metropolitan,2016
Altona North,3,h,710000.0,11.1,1.0,3.0,-37.8294,144.8378,Western Metropolitan,2016
Altona North,4,h,875000.0,11.1,1.0,4.0,-37.8448,144.8529,Western Metropolitan,2016
Altona North,3,h,700000.0,11.1,1.0,3.0,-37.8449,144.85,Western Metropolitan,2016
Altona North,2,t,640000.0,11.1,1.0,1.0,-37.8397,144.8602,Western Metropolitan,2017
Altona North,4,h,650000.0,11.1,1.0,4.0,-37.8451,144.8529,Western Metropolitan,2016
Altona North,3,h,675000.0,11.1,2.0,2.0,-37.8337,144.8554,Western Metropolitan,2016
Altona North,3,h,708000.0,11.1,1.0,2.0,-37.8258,144.8523,Western Metropolitan,2016
Altona North,4,h,965000.0,11.1,1.0,4.0,-37.8345,144.8444,Western Metropolitan,2016
Altona North,3,h,680000.0,11.1,1.0,3.0,-37.8254,144.8514,Western Metropolitan,2016
Altona North,3,h,770000.0,11.1,1.0,3.0,-37.8327,144.8451,Western Metropolitan,2016
Altona North,3,h,923000.0,11.1,1.0,2.0,-37.8269,144.8455,Western Metropolitan,2016
Altona North,4,h,693000.0,11.1,2.0,4.0,-37.8391,144.8467,Western Metropolitan,2016
Altona North,3,h,620000.0,11.1,2.0,2.0,-37.8262,144.8443,Western Metropolitan,2016
Altona North,3,h,728500.0,11.1,1.0,1.0,-37.8277,144.8385,Western Metropolitan,2016
Altona North,3,h,931000.0,11.1,2.0,1.0,-37.8382,144.8649,Western Metropolitan,2016
Altona North,3,h,988000.0,11.1,1.0,4.0,-37.8423,144.8632,Western Metropolitan,2016
Altona North,3,h,590000.0,11.1,1.0,2.0,-37.8444,144.8491,Western Metropolitan,2016
Altona North,2,h,610000.0,11.1,1.0,2.0,-37.834,144.8553,Western Metropolitan,2016
Altona North,3,h,815000.0,11.1,2.0,3.0,-37.8318,144.8388,Western Metropolitan,2017
Altona North,4,h,970000.0,11.1,1.0,2.0,-37.833,144.8494,Western Metropolitan,2017
Altona North,4,h,760000.0,11.1,1.0,3.0,-37.8262,144.8439,Western Metropolitan,2016
Altona North,4,t,847500.0,11.1,3.0,1.0,-37.8393,144.8568,Western Metropolitan,2016
Altona North,4,h,1200000.0,11.1,1.0,4.0,-37.8375,144.8541,Western Metropolitan,2016
Altona North,3,h,700000.0,11.1,1.0,1.0,-37.8441,144.8505,Western Metropolitan,2016
Altona North,3,h,625000.0,11.1,1.0,1.0,-37.8285,144.8351,Western Metropolitan,2016
Altona North,2,u,292000.0,11.1,1.0,1.0,-37.8332,144.8649,Western Metropolitan,2016
Armadale,2,u,599000.0,6.3,1.0,1.0,-37.8543,145.0262,Southern Metropolitan,2016
Armadale,2,u,550000.0,6.3,1.0,0.0,-37.8539,145.0284,Southern Metropolitan,2016
Armadale,3,u,995000.0,6.3,2.0,2.0,-37.8552,145.016,Southern Metropolitan,2016
Armadale,3,t,1205000.0,6.3,2.0,2.0,-37.854,145.0135,Southern Metropolitan,2016
Armadale,3,h,1939000.0,6.3,2.0,2.0,-37.8614,145.0274,Southern Metropolitan,2016
Armadale,1,u,421500.0,6.3,1.0,0.0,-37.853,145.0167,Southern Metropolitan,2016
Armadale,3,h,1870000.0,6.3,1.0,1.0,-37.8592,145.0182,Southern Metropolitan,2017
Armadale,2,u,678000.0,6.3,1.0,2.0,-37.8538,145.0127,Southern Metropolitan,2017
Armadale,3,t,1918000.0,6.3,2.0,2.0,-37.8537,145.0267,Southern Metropolitan,2017
Armadale,2,u,660000.0,6.3,1.0,1.0,-37.8619,145.0257,Southern Metropolitan,2017
Armadale,3,h,2050000.0,6.3,2.0,1.0,-37.8574,145.0281,Southern Metropolitan,2017
Armadale,2,u,700000.0,6.3,1.0,2.0,-37.8552,145.016,Southern Metropolitan,2016
Armadale,2,u,3625000.0,6.3,2.0,2.0,-37.8555,145.0291,Southern Metropolitan,2016
Armadale,4,h,3000000.0,6.3,2.0,2.0,-37.858,145.0111,Southern Metropolitan,2016
Armadale,5,h,1525000.0,6.3,2.0,2.0,-37.8638,145.0229,Southern Metropolitan,2016
Armadale,3,u,735000.0,6.3,2.0,1.0,-37.8543,145.0262,Southern Metropolitan,2016
Armadale,2,u,825000.0,6.3,1.0,1.0,-37.8528,145.0268,Southern Metropolitan,2016
Armadale,3,t,1586000.0,6.3,2.0,2.0,-37.8566,145.0116,Southern Metropolitan,2016
Armadale,2,u,645000.0,6.3,1.0,1.0,-37.8596,145.0198,Southern Metropolitan,2016
Armadale,1,h,1435000.0,6.3,2.0,1.0,-37.8564,145.0228,Southern Metropolitan,2016
Armadale,1,u,280000.0,6.3,1.0,1.0,-37.8619,145.0185,Southern Metropolitan,2016
Armadale,1,u,400000.0,6.3,1.0,1.0,-37.8605,145.0185,Southern Metropolitan,2016
Armadale,2,h,1780000.0,6.3,2.0,2.0,-37.8537,145.0267,Southern Metropolitan,2016
Armadale,2,u,592500.0,6.3,1.0,1.0,-37.8574,145.0174,Southern Metropolitan,2016
Armadale,2,h,1210000.0,6.3,1.0,0.0,-37.8543,145.016,Southern Metropolitan,2016
Armadale,4,h,2801000.0,6.3,2.0,2.0,-37.8536,145.0173,Southern Metropolitan,2016
Armadale,1,u,390000.0,6.3,1.0,0.0,-37.8614,145.0222,Southern Metropolitan,2016
Armadale,3,h,1800000.0,6.3,2.0,2.0,-37.8545,145.0145,Southern Metropolitan,2016
Armadale,4,h,2200000.0,6.3,1.0,2.0,-37.8613,145.0264,Southern Metropolitan,2016
Armadale,1,u,324000.0,6.3,1.0,1.0,-37.8537,145.0114,Southern Metropolitan,2016
Armadale,6,h,5525000.0,6.3,3.0,4.0,-37.8602,145.013,Southern Metropolitan,2016
Armadale,2,h,1125000.0,6.3,1.0,2.0,-37.851,145.0161,Southern Metropolitan,2016
Armadale,3,h,2250000.0,6.3,3.0,1.0,-37.8511,145.0167,Southern Metropolitan,2016
Armadale,3,h,2360000.0,6.3,2.0,0.0,-37.8558,145.015,Southern Metropolitan,2017
Armadale,2,h,1900000.0,6.3,2.0,0.0,-37.8571,145.0224,Southern Metropolitan,2017
Armadale,1,u,440000.0,6.3,1.0,1.0,-37.8531,145.0115,Southern Metropolitan,2017
Armadale,2,u,490000.0,6.3,1.0,1.0,-37.8646,145.0247,Southern Metropolitan,2016
Armadale,3,h,2365000.0,6.3,2.0,1.0,-37.8521,145.019,Southern Metropolitan,2016
Armadale,3,h,1300000.0,6.3,1.0,2.0,-37.8542,145.0149,Southern Metropolitan,2016
Armadale,3,u,732000.0,6.3,2.0,2.0,-37.8597,145.0104,Southern Metropolitan,2016
Armadale,2,u,704000.0,6.3,1.0,1.0,-37.8573,145.0186,Southern Metropolitan,2016
Armadale,2,u,620000.0,6.3,1.0,1.0,-37.8596,145.0198,Southern Metropolitan,2016
Armadale,3,h,1900000.0,6.3,1.0,2.0,-37.8559,145.0158,Southern Metropolitan,2016
Armadale,1,u,315000.0,6.3,1.0,1.0,-37.8575,145.0174,Southern Metropolitan,2016
Armadale,1,u,450000.0,6.3,1.0,1.0,-37.8509,145.0203,Southern Metropolitan,2016
Armadale,2,u,710000.0,6.3,1.0,1.0,-37.8573,145.0186,Southern Metropolitan,2017
Armadale,2,u,872000.0,6.3,1.0,1.0,-37.8604,145.0147,Southern Metropolitan,2017
Armadale,2,u,598000.0,6.3,1.0,1.0,-37.8593,145.0156,Southern Metropolitan,2017
Armadale,3,h,1285000.0,6.3,1.0,2.0,-37.8554,145.0173,Southern Metropolitan,2017
Armadale,4,h,3660000.0,6.3,3.0,2.0,-37.8593,145.0275,Southern Metropolitan,2017
Armadale,2,u,520000.0,6.3,1.0,1.0,-37.8618,145.0183,Southern Metropolitan,2016
Armadale,4,h,3625000.0,6.3,1.0,2.0,-37.8574,145.016,Southern Metropolitan,2016
Armadale,4,h,4200000.0,6.3,3.0,3.0,-37.8582,145.0138,Southern Metropolitan,2016
Armadale,3,t,1101000.0,6.3,1.0,2.0,-37.8542,145.0135,Southern Metropolitan,2016
Armadale,3,h,3512500.0,6.3,2.0,2.0,-37.8557,145.0264,Southern Metropolitan,2016
Armadale,4,h,2000000.0,6.3,3.0,4.0,-37.8611,145.0195,Southern Metropolitan,2016
Armadale,3,u,869000.0,6.3,1.0,1.0,-37.853,145.0264,Southern Metropolitan,2016
